"Titre","Auteur","Prenom","Nom","Date_creation","Dates_naissance_deces_artiste","Lieu_naissance","Date_naissance","Lieu_deces","Date_deces","Domaine","id_domaine","Technique","Dimensions","Dimensions_split_1","DimX","DimY","DimZ","Annee_acquisition","Type_acquisition","Type_acquisition_copy","Précisions_acquisition","No_inventaire","Lien_Navigart"
"Le Greffeur","Léon FAGEL","Léon","FAGEL","vers 1896","Valenciennes (Nord), 1851 - Cousolre (Nord), 1913","Valenciennes (Nord)"," 1851 "," Cousolre (Nord)"," 1913","Sculpture","1","Statue figure grandeur naturePlâtre","208 x 65 x 68 cm","208 x 65 x 68 ","208 "," 65 "," 68 ","1896","Dépôt","2","Achat en salon à l'artiste en 1896Fonds national d'art contemporainDépôt au Musée des Beaux-Arts de Nantes le 26/05/1897","1789","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000001791"
"Portrait de Charles-Paul-Jean-Baptiste de Bourgevin de Vialart de Saint-Morys, conseiller à la Grand-Chambre du Parlement de Paris","Jean-Baptiste GREUZE","Jean-Baptiste","GREUZE","2ème moitié XVIIIe siècle","Tournus (Saône-et-Loire), 1725 - Paris (France), 1805","Tournus (Saône-et-Loire)"," 1725 "," Paris (France)"," 1805","Peinture","2","Huile sur bois","65 x 53,3 cm","65 x 53,3 ","65 "," 53,3 ","","1852","Don","1","Don de M. Clarke de Feltre en 1852","621","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000004927"
"Saint Etienne","Charles MELLIN","Charles","MELLIN","1ère moitié XVIIe siècle","Nancy (Meurthe-et-Moselle), 1598? - Rome (Italie), 1649","Nancy (Meurthe-et-Moselle)"," 1598? "," Rome (Italie)"," 1649","Peinture","2","Huile sur toile","60,6 x 48,5 cm","60,6 x 48,5 ","60,6 "," 48,5 ","","1810","Achat","3","Achat à M. Cacault en 1810","233","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000006355"
"Homme assis, visage enfoui dans les genoux, retenus par les mains","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Mine de plomb sur papier","21,6 x 29,5 cm","21,6 x 29,5 ","21,6 "," 29,5 ","","0","Inconnu","0","Acquisition","6010","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007837"
"Un jeune amour, de profil, tête de face","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Crayon et fusain sur papier calque","20,2 x 14,5 cm","20,2 x 14,5 ","20,2 "," 14,5 ","","0","Inconnu","0","Acquisition","5521","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000069318"
"Une maison","René PINARD","René","PINARD","1898","Nantes (Loire-Atlantique), 1883 - Paris (France), 1938","Nantes (Loire-Atlantique)"," 1883 "," Paris (France)"," 1938","Dessin","3","Mine graphite sur papier","15,9 x 24,9 cm","15,9 x 24,9 ","15,9 "," 24,9 ","","1938","Don","1","Don de l'artiste en 1938","3321","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000003090"
"Village","René PINARD","René","PINARD","1900","Nantes (Loire-Atlantique), 1883 - Paris (France), 1938","Nantes (Loire-Atlantique)"," 1883 "," Paris (France)"," 1938","Dessin","3","Mine graphite sur papier","24,7 x 32,1 cm","24,7 x 32,1 ","24,7 "," 32,1 ","","1938","Don","1","Don de l'artiste en 1938","3330","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000003099"
"Saint Benoît porté en gloire par les vertus théologales","Sebastiano MAZZONI","Sebastiano","MAZZONI","XVIIe siècle","Florence (Italie), 1611 - Venise (Italie), 1678","Florence (Italie)"," 1611 "," Venise (Italie)"," 1678","Peinture","2","Papier marouflé sur toile","41,8 x 29,1 cm","41,8 x 29,1 ","41,8 "," 29,1 ","","1933","Don","1","Don de Mme Berthe Lesage en 1933","933.1.1.P","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000004891"
"Jeune garçon, main droite sur la hanche, pied droit en avant, tête baissée","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Mine de plomb sur papier calque","32,8 x 15 cm","32,8 x 15 ","32,8 "," 15 ","","0","Inconnu","0","Acquisition","1376","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007714"
"Allégorie","Georges Victor HUGO","Georges Victor","HUGO","XIXe siècle","Bruxelles (Belgique), 1868 - Paris (France), 1925","Bruxelles (Belgique)"," 1868 "," Paris (France)"," 1925","Dessin","3","Crayon, craie jaune, plume et encre rouge sur papier","50,4 x 32,7 cm","50,4 x 32,7 ","50,4 "," 32,7 ","","1945","Inconnu","0","Mode d'acquisition non renseigné Provenance inconnue en 1945","3387","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000005550"
"Peinture murale à Pompéï","Achille JOYAU","Achille","JOYAU","vers 1860","Nantes (Loire-Atlantique), 1831 - Nantes (Loire-Atlantique), 1873","Nantes (Loire-Atlantique)"," 1831 "," Nantes (Loire-Atlantique)"," 1873","Dessin","3","Gouache sur papier","31 x 26 cm","31 x 26 ","31 "," 26 ","","1876","Achat","3","Achat en 1876","1544","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007880"
